crop,Tave_high,Tmax_high,Tmin_high,GDD>0_high,GDD>10_high,PRE_high,SSD_high,RAD_high,Tave_low,Tmax_low,Tmin_low,GDD>0_low,GDD>10_low,PRE_low,SSD_low,RAD_low
LR-SC,26.0 ,31.1 ,22.2 ,2323.1 ,1428.1 ,206.8 ,573.1 ,1483.8 ,24.9 ,30.1 ,21.3 ,2314.5 ,1384.5 ,237.5 ,501.3 ,1363.9 
LR-SC,26.6 ,30.5 ,23.5 ,2701.3 ,1686.3 ,279.1 ,569.9 ,1554.7 ,24.7 ,29.3 ,21.2 ,2498.9 ,1488.9 ,266.9 ,410.0 ,1268.7 
LR-SC,24.9 ,29.7 ,21.5 ,2368.7 ,1418.7 ,363.6 ,447.3 ,1295.0 ,25.5 ,30.7 ,21.8 ,2181.0 ,1324.3 ,208.9 ,466.0 ,1267.4 
LR-SC,27.2 ,32.4 ,23.4 ,2379.6 ,1504.6 ,256.4 ,576.4 ,1477.1 ,27.3 ,32.5 ,23.4 ,2371.0 ,1501.0 ,256.2 ,578.6 ,1481.4 
LR-SC,26.2 ,31.5 ,22.4 ,2515.6 ,1555.6 ,275.7 ,608.6 ,1526.7 ,26.4 ,31.8 ,22.4 ,2547.9 ,1582.9 ,202.5 ,615.9 ,1548.3 
LR-SC,27.4 ,32.0 ,24.1 ,2872.5 ,1827.5 ,324.8 ,730.3 ,1824.7 ,27.3 ,31.9 ,24.0 ,2751.1 ,1746.1 ,308.3 ,695.5 ,1738.5 
LR-SC,26.3 ,30.4 ,23.0 ,2265.3 ,1405.3 ,355.1 ,556.4 ,1410.9 ,26.7 ,30.8 ,23.4 ,2617.3 ,1637.3 ,382.3 ,640.1 ,1628.6 
LR-SC,25.9 ,31.6 ,22.0 ,2403.4 ,1476.7 ,321.1 ,545.8 ,1448.9 ,26.0 ,31.7 ,22.1 ,2416.3 ,1486.3 ,302.2 ,548.0 ,1456.2 
LR-SC,25.3 ,30.5 ,21.8 ,2375.8 ,1435.8 ,417.8 ,513.4 ,1315.2 ,25.5 ,30.6 ,22.1 ,2625.9 ,1595.9 ,421.8 ,568.8 ,1465.0 
LR-SC,24.7 ,30.4 ,21.0 ,2691.1 ,1601.1 ,366.8 ,659.4 ,1623.0 ,24.4 ,30.2 ,20.6 ,2612.0 ,1542.0 ,315.4 ,650.1 ,1585.0 
LR-SC,24.5 ,29.9 ,21.0 ,2689.7 ,1589.7 ,449.0 ,587.4 ,1611.3 ,24.4 ,29.7 ,20.9 ,2582.4 ,1522.4 ,406.3 ,564.6 ,1542.8 
LR-SC,24.7 ,29.8 ,21.2 ,2484.8 ,1478.2 ,245.2 ,581.7 ,1458.2 ,24.7 ,29.9 ,21.2 ,2641.0 ,1572.6 ,293.6 ,621.1 ,1555.4 
LR-SC,27.6 ,32.1 ,24.1 ,2369.3 ,1509.3 ,305.8 ,544.9 ,1376.5 ,27.5 ,32.1 ,24.0 ,2560.6 ,1630.6 ,324.7 ,599.9 ,1511.4 
LR-SC,23.5 ,28.7 ,19.9 ,2140.4 ,1230.4 ,321.1 ,426.7 ,1194.3 ,23.4 ,28.6 ,19.8 ,2156.5 ,1236.5 ,321.1 ,436.0 ,1211.3 
LR-SC,24.9 ,29.6 ,21.2 ,2413.4 ,1443.4 ,290.0 ,496.4 ,1523.9 ,25.1 ,29.8 ,21.4 ,2482.7 ,1492.7 ,304.1 ,507.1 ,1569.0 
LR-SC,23.7 ,28.8 ,20.1 ,2483.3 ,1433.3 ,199.4 ,557.9 ,1429.6 ,23.8 ,28.9 ,20.2 ,2410.1 ,1395.1 ,199.4 ,536.7 ,1380.8 
