Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1204,M-NCP,MNCP1204,2007,MNCP03,medium_maturity,25,30.3,20.9,2700.8,1620.8,301.5,653.5,1712.3,Fluvo-aquic soils,loam,10.5,21.5,100,7.9,210,75,120,8810
1205,M-NCP,MNCP1205,2007,MNCP03,medium_maturity,25,30.3,20.9,2700.8,1620.8,301.5,653.5,1712.3,Fluvo-aquic soils,loam,10.7,23.8,135,8,210,75,120,9339
1206,M-NCP,MNCP1206,2008,MNCP03,medium_maturity,25.1,30.2,21.1,2531.2,1521.2,284.8,643.3,1649.8,Fluvo-aquic soils,loam,14.2,15.3,130,7.9,210,75,120,9270
1207,M-NCP,MNCP1207,2007,MNCP03,medium_maturity,24.2,29.7,20.1,2757.2,1617.2,216.8,537.7,1554.4,Fluvo-aquic soils,loam,10.5,10,95,8.1,180,90,105,8553
1208,M-NCP,MNCP1208,2008,MNCP03,medium_maturity,24.4,29.9,20.3,2756,1626,216.3,530.4,1545.8,Fluvo-aquic soils,loam,13.7,21,63,8,180,90,105,9864
1209,M-NCP,MNCP1209,2008,MNCP03,medium_maturity,24.5,29.9,20.4,2717.6,1607.6,216.3,515.4,1516.7,Fluvo-aquic soils,loam,12.1,28,104,7.9,180,90,105,9708
1210,M-NCP,MNCP1210,2008,MNCP03,medium_maturity,24.8,30.2,20.7,2722.9,1622.9,215.9,516.9,1522.2,Fluvo-aquic soils,loam,13.7,20,59,8.1,180,90,105,9107
1211,M-NCP,MNCP1211,2007,MNCP03,medium_maturity,24.9,30.4,20.7,2688.2,1608.2,344.6,529.5,1535.6,Fluvo-aquic soils,loam,14,20.5,126,7.2,150,60,90,8990
1212,M-NCP,MNCP1212,2007,MNCP03,medium_maturity,24.7,30.2,20.6,2737.8,1627.8,358.2,524.9,1539.9,Fluvo-aquic soils,loamy sand,10,74,68,7.2,150,60,90,8450
1213,M-NCP,MNCP1213,2007,MNCP03,medium_maturity,24.9,30.4,20.7,2710.1,1620.1,344.6,535.3,1548.5,Fluvo-aquic soils,loam,12,11.4,82,7.4,150,60,90,8865
1214,M-NCP,MNCP1214,2009,MNCP03,medium_maturity,25.1,29.9,21.2,2715.1,1635.1,645.5,677.4,1741.4,Fluvo-aquic soils,loam,14.4,25.8,140,7.4,210,60,150,9519
1215,M-NCP,MNCP1215,2009,MNCP03,medium_maturity,25.1,29.9,21.2,2715.1,1635.1,645.5,677.4,1741.4,Fluvo-aquic soils,loamy sand,12.5,40.3,220,7.9,210,60,93,9575
1216,M-NCP,MNCP1216,2008,MNCP03,medium_maturity,25.2,29.8,21.3,2718.8,1638.8,275.9,581.3,1583.7,Fluvo-aquic soils,loam,13.4,14.2,160,7.3,195,75,120,8159
1217,M-NCP,MNCP1217,2008,MNCP03,medium_maturity,25.2,29.8,21.3,2718.8,1638.8,275.9,581.3,1583.7,Fluvo-aquic soils,loam,15.5,15.1,160,7.3,210,90,150,8781
