Sort,Crop,N0,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
112,M-NCP,MNCP0112,2007,MNCP01,WS0166,25.32 ,30.35 ,21.25 ,2531.7,1531.7,243.6,716.2,1729.38,Fluvo-aquic soils,loam,16.2,30.9,80,8.7,180,60,120,8475
113,M-NCP,MNCP0113,2007,MNCP01,WS0166,24.92 ,29.86 ,20.95 ,2641.5,1581.5,262.1,731.1,1784.47,Fluvo-aquic soils,loamy sand,12.3,24.6,70,8.8,180,60,120,8736
114,M-NCP,MNCP0114,2007,MNCP01,WS0166,24.96 ,29.93 ,20.97 ,2596.2,1556.2,255.7,725,1759.84,Fluvo-aquic soils,loamy sand,15.1,51.8,120,8.1,180,60,120,8609
115,M-NCP,MNCP0115,2007,MNCP01,WS0166,25.01 ,29.95 ,21.06 ,2626.5,1576.5,261.6,722.3,1771.25,Fluvo-aquic soils,loam,18.8,22.5,120,8.7,225,60,150,9225
116,M-NCP,MNCP0116,2007,MNCP01,WS0166,24.77 ,29.64 ,20.88 ,2675.6,1595.6,279.9,731.1,1793.85,Fluvo-aquic soils,loam,9.8,16.1,130,8.6,135,60,90,9432
117,M-NCP,MNCP0117,2007,MNCP01,WS0166,24.79 ,29.72 ,20.81 ,3048.7,1818.7,291.6,838.6,2065.25,Fluvo-aquic soils,loam,18.7,27.9,150,8.6,225,60,150,5903
118,M-NCP,MNCP0118,2007,MNCP01,WS0166,25.09 ,30.08 ,21.05 ,2834.9,1704.9,261.6,785.5,1926.21,Fluvo-aquic soils,loamy sand,19.9,31.8,120,8.6,225,60,150,9120
119,M-NCP,MNCP0119,2008,MNCP01,WS0166,24.84 ,29.66 ,20.91 ,2756.7,1646.7,363.6,828.7,1965.65,Fluvo-aquic soils,loamy sand,12.9,18.2,130,8.7,180,60,120,10340
120,M-NCP,MNCP0120,2008,MNCP01,WS0166,24.82 ,29.62 ,20.89 ,2730.5,1630.5,362.4,821.7,1944.28,Fluvo-aquic soils,loamy sand,13.3,18.8,120,8.7,180,60,120,9630
121,M-NCP,MNCP0121,2008,MNCP01,WS0166,25.06 ,29.77 ,21.22 ,2681.4,1611.4,363.6,794.6,1903.26,Fluvo-aquic soils,loam,25.8,24.6,170,8.5,225,60,150,10671
122,M-NCP,MNCP0122,2008,MNCP01,WS0166,25.25 ,29.99 ,21.42 ,2701.9,1631.9,383.3,786.7,1898.74,Fluvo-aquic soils,loam,22.6,17.8,150,8.5,180,60,120,10892
123,M-NCP,MNCP0123,2008,MNCP01,WS0166,24.71 ,29.48 ,20.80 ,2742.5,1632.5,364.8,821.7,1948.9,Fluvo-aquic soils,loam,17.7,72,110,8.8,135,60,90,9509
124,M-NCP,MNCP0124,2010,MNCP01,WS0166,25.08 ,29.76 ,21.23 ,2557.9,1537.9,374,565.1,1494.96,Fluvo-aquic soils,loamy sand,16.5,26.3,110,8.5,180,60,120,8880
125,M-NCP,MNCP0125,2010,MNCP01,WS0166,25.01 ,29.74 ,21.10 ,2675.7,1605.7,374,591.1,1563.4,Fluvo-aquic soils,loam,17.9,20.3,110,8.5,135,60,90,7455
126,M-NCP,MNCP0126,2010,MNCP01,WS0166,25.39 ,30.05 ,21.57 ,2640.1,1600.1,374.7,558.6,1517.44,Fluvo-aquic soils,loam,23.2,25.7,120,8.4,225,60,150,10185
