Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
113,M-SWC,MSWC0113,2007,MSWC01,WS0295,17.53 ,22.16 ,14.67 ,2139,919,731.4,353.8,1436.31,Yellow-brown earths,,45.9,14.8,60,5.9,300,150,300,8264
114,M-SWC,MSWC0114,2007,MSWC01,WS0295,16.64 ,21.60 ,13.49 ,2812.1,1132.5,885.4,596.6,2116.55,Yellow-brown earths,,23.2,17,100,8.1,210,135,180,8228
115,M-SWC,MSWC0115,2007,MSWC01,WS0295,16.59 ,21.58 ,13.43 ,2770.5,1110.9,901.6,587.5,2099.26,Yellow-brown earths,,23.2,20,189,6.5,180,120,150,6842
116,M-SWC,MSWC0116,2007,MSWC01,WS0295,16.62 ,21.65 ,13.44 ,2859.1,1149.5,901.6,618.6,2176,Yellow-brown earths,,18.6,16.1,89,5.6,225,150,225,9084
117,M-SWC,MSWC0117,2008,MSWC01,WS0295,16.60 ,21.56 ,13.56 ,2589.6,1029.9,840.9,553.4,1967.38,Yellow-brown earths,,29.1,5.9,189,7.8,240,120,270,8300
118,M-SWC,MSWC0118,2008,MSWC01,WS0291,19.37 ,25.28 ,15.58 ,3390,1640.4,988.1,764.1,2443.61,Fluvo-aquic soils,,23.8,14.2,167,7,225,150,240,9722
119,M-SWC,MSWC0119,2008,MSWC01,WS0291,19.44 ,25.42 ,15.56 ,3479.1,1689.5,988.1,802.9,2532.06,Fluvo-aquic soils,,29.8,21.4,137,7,180,120,180,8107
120,M-SWC,MSWC0120,2008,MSWC01,WS0291,19.37 ,25.24 ,15.59 ,3370.3,1630.7,988.1,761.3,2430.83,Fluvo-aquic soils,,37.4,7.6,177,7,210,135,210,8130
121,M-SWC,MSWC0121,2009,MSWC01,WS0291,20.11 ,26.16 ,16.06 ,3278.7,1648.7,561.9,796.8,2434.06,Fluvo-aquic soils,,30.6,24.4,167,6.5,210,135,210,8369
122,M-SWC,MSWC0122,2009,MSWC01,WS0291,19.96 ,25.97 ,15.92 ,3173.1,1584.5,559.3,768.4,2366.18,Fluvo-aquic soils,,29.2,34.4,139,6.7,210,135,210,7965
